School Name,School ID,network_num,sch-type,ACT Composite Mean,,,,,,,,,,,,,,,,
CICS - NORTHTOWN HS,400034,Network 1,Charter,19.4,,,,,,,,,,,,,,,,
NORTHSIDE PREP HS,609749,Network 1,District,29.5,,,,,,,,,,,,,,,,
ROOSEVELT HS,609728,Network 1,District,15.5,,,,,,,,,,,,,,,,
SCHURZ HS,609729,Network 1,District,16.4,,,,,,,,,,,,,,,,
TAFT HS,609734,Network 1,District,18.9,,,,,,,,,,,,,,,,
VON STEUBEN HS,609737,Network 1,District,21.3,,,,,,,,,,,,,,,,
,,Network 1,Average,20.2,,,,,,,,,,,,,,,,
BOGAN HS,609698,Network 10,District,14.9,,,,,,,,,,,,,,,,
CHICAGO AGRICULTURE HS,609753,Network 10,District,20.2,,,,,,,,,,,,,,,,
HUBBARD HS,609741,Network 10,District,17.1,,,,,,,,,,,,,,,,
KENNEDY HS,609718,Network 10,District,18.1,,,,,,,,,,,,,,,,
MORGAN PARK HS,609725,Network 10,District,17.3,,,,,,,,,,,,,,,,
,,Network 10,Average,17.5,,,,,,,,,,,,,,,,
CICS - ELLISON HS,400032,Network 11,Charter,16.3,,,,,,,,,,,,,,,,
CICS - LONGWOOD,400033,Network 11,Charter,15.4,,,,,,,,,,,,,,,,
NOBLE - JOHNSON HS,400106,Network 11,Charter,18.2,,,,,,,,,,,,,,,,
PERSPECTIVES - LEADERSHIP HS,400061,Network 11,Charter,16.8,,,,,,,,,,,,,,,,
PERSPECTIVES - TECH HS,400062,Network 11,Charter,16.5,,,,,,,,,,,,,,,,
URBAN PREP - ENGLEWOOD HS,400086,Network 11,Charter,16.7,,,,,,,,,,,,,,,,
HARPER HS,609711,Network 11,District,14.6,,,,,,,,,,,,,,,,
HOPE HS,609768,Network 11,District,14.7,,,,,,,,,,,,,,,,
LINDBLOM HS,610391,Network 11,District,22.9,,,,,,,,,,,,,,,,
ROBESON HS,609707,Network 11,District,13.2,,,,,,,,,,,,,,,,
SIMEON HS,609692,Network 11,District,16.2,,,,,,,,,,,,,,,,
TEAM HS,610506,Network 11,District,14.3,,,,,,,,,,,,,,,,
